,제목,별점,사람,기타정보,상영시간
631,탱고와 캐쉬,3.2,"9,474",['1989 ・ 액션 ・ 미국'],1시간 37분
636,빽 투 더 퓨쳐,4.0,25만,['1985 ・ 모험 ・ 미국'],
637,비틀쥬스 - TV 만화 시리즈,3.6,61,['1989 ・ 애니메이션 ・ 미국'],
641,,0,0,[],
645,,0,0,[],
646,,0,0,[],
649,,0,0,[],
660,,0,0,[],
663,에디의 환상 여행,3.4,48,['1992 ・ 애니메이션 ・ 미국'],1시간 17분
664,4 리틀 걸즈,4.8,2,['1997 ・ 다큐멘터리 ・ 미국'],1시간 42분
665,아일랜드의 연풍,2.7,17,['1994 ・ 아일랜드'],1시간 41분
669,싸이렌스,2.8,35,['1985 ・ 액션 ・ 미국'],1시간 40분
670,레니게이드,2.5,47,['1989 ・ 액션 ・ 미국'],1시간 45분
672,태양은 가득히,3.8,2만,['1960 ・ 드라마 ・ 이탈리아 ・ 프랑스'],1시간 58분
677,아빠가 줄었어요,3.0,449,['1997 ・ 드라마 ・ 미국'],1시간 15분
682,리애니메이터,3.3,"4,228",['1985 ・ 공포 ・ 미국'],1시간 44분
683,싸일런트 폴,2.8,43,['1994 ・ 드라마 ・ 미국'],1시간 46분
691,포커스,3.0,1만,['2015 ・ 로맨틱코미디 ・ 미국'],
693,쇼킹 오브 데스,2.8,482,['2014 ・ 코미디 ・ 미국 ・ 뉴질랜드 ・ 캐나다 ・ 이스라엘 ・ 일본 ・ 나이지리아'],2시간 5분
694,,0,0,[],
695,변검,3.6,"5,566",['1995 ・ 드라마 ・ 중국 ・ 홍콩'],1시간 34분
696,멍키 앤드 레미 - 렛츠 플라이,0,0,['1994 ・ 라트비아'],6분
699,휴가 대소동 - 라스베가스,2.9,48,['1997 ・ 코미디 ・ 미국'],1시간 33분
704,할로윈 6,2.1,118,['1995 ・ 공포 ・ 미국'],1시간 28분
714,남자와 기생,3.2,29,['1969 ・ 코미디 ・ 한국'],1시간 25분
725,9/11: The Great Illusion: End Game of the Illuminati,0,0,['다큐멘터리'],1시간 55분
726,엠마뉴엘 - 뉴 엠마뉴엘 2,3.1,6,['1994 ・ 미국'],1시간 22분
727,단 한번뿐인 인생,3.7,214,['1937 ・ 범죄 ・ 미국 ・ 국가불명'],
729,,0,0,[],
731,,0,0,[],
735,악마의 씨,3.8,1만,['1968 ・ 공포 ・ 미국'],
738,미녀 드라큐라,2.7,188,['1992 ・ 로맨틱코미디 ・ 미국'],1시간 52분
743,뉴욕 뉴욕,3.4,875,['1977 ・ 음악 ・ 미국'],2시간 42분
747,바탈리언 3,3.1,584,['1993 ・ 공포 ・ 미국'],1시간 37분
749,남성 전용 회사,3.9,12,['1997 ・ 캐나다 ・ 미국'],1시간 37분
750,이지 걸,3.0,102,['1989 ・ 코미디 ・ 영국 ・ 미국'],1시간 39분
754,안나 카레니나,3.3,"3,147",['1997 ・ 로맨스 ・ 미국'],
758,히틀러와 아브라함,0,0,['2000 ・ 프랑스'],
768,킹덤,3.3,"1,997",['1994 ・ 스릴러 ・ 덴마크 ・ 스웨덴 ・ 독일 ・ 프랑스'],4시간 40분
769,천하무적 갈가메스,2.8,49,['1995 ・ 판타지 ・ 미국'],1시간 50분
772,내일,3.0,15,['1995 ・ 일본'],2시간 22분
775,토킹 헤드,2.6,7,['1992 ・ 일본'],1시간 45분
776,Ich trag dich bis ans Ende der Welt,0,0,['2010 ・ 드라마 ・ 독일 ・ 오스트리아'],1시간 54분
788,,0,0,[],
789,바리에테,4.0,13,['1925 ・ 로맨스 ・ 독일'],1시간 12분
