제목,개봉일,국가,장르,별점,네티즌수
맥주가 애인보다 좋은 일곱가지 이유,1996-02-17,한국,코미디,6.0,9
은행나무 침대,1996-02-17,한국,로맨스/멜로/판타지/드라마,7.9,39
헝그리베스트 5,1995-12-23,한국,애니메이션/드라마,4.6,5
헤어드레서,1995-09-08,한국,코미디/드라마,4.8,5
검객이야기,0000-00-00,한국,액션,6.5,2
큐,1996-06-21,한국,성인/드라마,8.5,4
애니깽,1997-12-13,한국,시대극/드라마,6.0,20
아롱이의 대탐험,1999-01-09,한국,드라마,8.7,3
검으나 땅에 희나 백성,1997-12-06,한국,판타지,6.9,12
표절,1999-09-11,한국,미스터리,7.0,3
러브 스토리,1996-05-11,한국,로맨스/멜로/드라마,6.5,6
지구용사 벡터맨 : 사탄제국의 대역습,1999-00-00,한국,액션/SF,8.9,36
본투킬,1996-04-20,한국,액션,7.1,29
투캅스 2,1996-04-27,한국,코미디/액션,5.8,25
깡패수업 2,1999-06-26,한국,코미디/범죄/액션,4.8,4
A+삶,1999-05-22,한국,드라마,10.0,1
"연애는 프로, 결혼은 아마츄어",1994-02-19,한국,코미디,6.0,1
루트 7,1998-07-03,한국,드라마,5.0,2
핑크빛 깡통,0000-00-00,한국,코미디,0.0,1
장미의 나날,1994-04-02,한국,스릴러,6.5,6
짧은 시간 긴 시간,1994-03-26,한국,성인,5.0,2
아메리칸 드래곤,1998-11-21,미국,액션,7.0,2
거꾸로 가는 여자,1994-03-26,한국,드라마,8.0,2
파파라치,1999-04-10,한국,드라마,7.2,8
나는 소망한다 내게 금지된 것을,1994-02-09,한국,드라마,7.0,3
고수,1998-04-18,한국,액션,7.0,10
산딸기 6,1994-07-16,한국,성인,7.0,1
김건모의 스피드,0000-00-00,한국,코미디,0.0,1
우연한 여행,1994-05-07,한국,어드벤처,10.0,1
내! 아바디 오마니,0000-00-00,한국,드라마,9.0,9
휘모리,1994-06-25,한국,드라마,8.2,5
로켓트는 발사됐다,1997-03-15,한국,코미디/드라마,4.3,3
바리케이드,1997-04-26,한국,가족/드라마,8.7,3
두 여자 이야기,1994-04-22,한국,시대극,7.7,3
우리 시대의 사랑,1994-08-20,한국,드라마,7.8,4
절대사랑,1994-06-11,한국,스릴러,9.0,1
대통령의 딸,1994-04-30,한국,로맨스/멜로,5.5,2
증발,1994-04-09,한국,범죄/미스터리,9.0,2
백수스토리,1997-06-14,한국,코미디/로맨스/멜로/드라마,6.0,1
예수,1998-02-14,한국,애니메이션,6.1,11
아주 특별한 변신,1994-04-23,한국,범죄/미스터리/드라마,0.0,1
캘리포니아,1997-08-30,"홍콩, 한국",액션,5.5,2
테러리스트 2,1997-08-30,한국,액션,0.0,1
만무방,1994-10-22,한국,전쟁/드라마,8.9,30
49일의 남자,1994-06-04,한국,스릴러,8.5,2
두목,1994-05-21,한국,액션,10.0,1
너에게 받은 흔적,0000-00-00,한국,성인,10.0,1
아마게돈,1996-01-20,한국,SF/애니메이션,4.7,9
알바트로스,1996-07-13,한국,로맨스/멜로/액션/전쟁/드라마,4.7,14
세상 밖으로,1994-05-28,한국,어드벤처,8.8,11
애마부인 10,1994-06-04,한국,성인,7.5,2
천년환생 - 월하의 공동묘지,1998-06-15,한국,공포,5.0,3
7 악동,1996-12-21,한국,코미디/가족/어드벤처/드라마,8.0,1
카리스마,1996-12-21,한국,액션/드라마,9.4,5
킬링게임,1996-12-06,한국,액션,8.5,2
하얀 노을,1996-10-26,한국,성인,7.0,3
계약커플,1994-11-19,한국,코미디/로맨스/멜로,3.0,2
황금의 팔,0000-00-00,한국,애니메이션/드라마,10.0,3
고금소총 3,1995-04-15,한국,성인,9.0,1
헐리우드 키드의 생애,1994-07-30,한국,드라마,8.1,28
천하대장군,1994-10-08,한국,성인,1.0,1
티라노의 발톱,1994-07-16,한국,코미디/어드벤처,7.1,13
구미호,1994-07-23,한국,로맨스/멜로,6.3,21
장미빛 인생,1994-08-06,한국,드라마,7.0,11
내일로 흐르는 강,1996-01-20,한국,로맨스/멜로/시대극/드라마,8.0,3
미끼,1998-03-21,한국,드라마,5.0,1
키스도 못하는 남자,1994-08-06,한국,코미디,6.0,1
게임의 법칙,1994-09-17,한국,액션,8.1,58
세븐틴,1998-07-17,한국,드라마,5.5,35
태백산맥,1994-09-17,한국,전쟁/드라마,7.5,81
