제목,개봉일,국가,장르,별점,네티즌수
꼭지딴,1990-07-28,한국,액션,5.0,8
북경반점,1999-04-24,한국,드라마,7.9,19
걸어서 하늘까지,1992-05-23,한국,액션,6.7,9
동춘별곡,1991-02-09,한국,시대극,3.7,3
금강선법,1982-02-07,한국,액션/무협,3.2,4
금강혈인,1982-03-12,"한국, 홍콩",코미디/액션,6.8,9
김두한과 서대문1번지,1981-11-20,한국,액션,3.2,4
김두한형 시라소니형,1981-09-12,한국,액션,8.0,1
깊은 밤 갑자기,2018-10-11,한국,공포,8.6,49
영구와 땡칠이 3 - 영구 람보,1990-07-28,한국,코미디,6.8,14
나는 할렐루야 아줌마였다,1982-10-21,한국,드라마,8.7,3
내 이름은 마야,1981-10-10,한국,드라마,6.7,3
내이름 쌍다리,1982-02-14,한국,액션,7.4,8
영심이,1990-07-29,한국,코미디/드라마,8.3,18
애마부인 4,1990-09-01,한국,성인,10.0,2
잿빛 사랑노트,1990-10-27,한국,로맨스/멜로,9.0,2
돌아온 쌍용,1982-11-29,한국,액션/무협,5.0,2
두 아들,1971-07-01,한국,로맨스/멜로,8.0,1
그들도 우리처럼,1990-11-10,한국,드라마,7.1,25
만추,1982-02-28,한국,로맨스/멜로,7.7,18
망령의 웨딩드레스,1981-04-16,한국,드라마,5.2,6
미워도 다시 한 번 '81,1981-05-23,한국,로맨스/멜로,3.7,3
밀명 마상객,0000-00-00,한국,액션,5.0,1
반금련,1981-03-13,한국,드라마,4.8,4
빙점 81,1981-04-18,한국,드라마,5.0,2
사랑하는 사람아,1981-02-27,한국,로맨스/멜로,8.7,15
짚시애마,1990-09-01,한국,성인,6.4,8
꿈,1990-09-29,한국,시대극,8.8,22
사후세계,1982-02-19,한국,SF,2.7,3
소림사 주방장,1981-11-01,한국,액션,4.3,3
슬픈 계절에 만나요,1981-08-21,한국,로맨스/멜로,6.3,3
쌍배,1982-01-23,한국,액션,5.0,2
아가씨 참으세요,1981-09-19,한국,드라마,4.7,3
단지 그대가 여자라는 이유만으로,1990-09-29,한국,드라마,7.0,16
물 위를 걷는 여자,1990-09-29,한국,로맨스/멜로,5.0,5
땡삐,1990-10-27,한국,성인,4.0,1
앵무새 몸으로 울었다,1981-10-24,한국,로맨스/멜로,6.6,16
어둠의 자식들,1981-08-07,한국,로맨스/멜로,7.2,4
F학점의 천재들,1982-02-20,한국,드라마,4.0,2
연분홍치마,1981-07-10,한국,드라마,4.8,4
용호의 사촌들,1981-12-11,한국,액션,5.0,2
우상의 눈물,1982-04-04,한국,드라마,9.0,1
월광쌍수,1981-10-16,한국,드라마,5.0,2
이 깊은 밤의 포옹,1981-10-10,한국,드라마,1.0,1
이런 여자 없나요,1981-11-28,한국,로맨스/멜로,0.0,1
여군외출,1990-11-24,한국,로맨스/멜로/드라마,4.4,5
자유부인,1981-06-13,한국,드라마,5.0,2
'90 벌레먹은 장미,1990-11-10,한국,로맨스/멜로,2.0,2
종군수첩,1981-06-20,한국,액션,1.0,1
천용란,1982-02-20,한국,액션,4.5,2
젊은 날의 초상,1991-03-16,한국,드라마,8.6,38
청춘을 뜨겁게,1981-11-28,한국,로맨스/멜로,10.0,2
무,1990-11-24,한국,액션,4.0,1
고금소총 2,1991-03-09,한국,성인,3.3,3
독재 소공화국,1991-04-05,한국,드라마,10.0,1
너에게로 또다시,1991-01-01,한국,로맨스/멜로,6.3,6
칠지수,1982-04-11,한국,액션,5.0,2
드래곤볼,1990-12-12,한국,가족/액션/어드벤처,6.8,14
풍운아 팔불출,1982-01-01,한국,코미디,4.5,2
하늘나라 엄마별이,1981-04-29,한국,드라마,7.6,8
해결사,1982-03-07,한국,액션/범죄,3.0,4
나의 사랑 나의 신부,1990-12-29,한국,로맨스/멜로,8.2,29
흑표비객,1981-12-10,한국,액션,5.0,2
웨딩드레스,1991-03-01,한국,로맨스/멜로,10.0,1
짬뽕 홍길동,1990-11-22,한국,코미디,6.7,3
흑설,1991-01-12,한국,액션,8.0,1
장미여관,1991-01-12,한국,로맨스/멜로/드라마,10.0,1
있잖아요 비밀이에요 2,1991-01-12,한국,드라마,2.0,1
밀월,1989-01-28,한국,드라마,0.5,2
괴시,1981-04-10,한국,SF/공포/미스터리,4.1,7
귀화산장,1981-06-12,한국,로맨스/멜로,10.0,1
그 사랑 한이 되어,1981-02-05,한국,로맨스/멜로,5.5,2
상처,1989-02-18,한국,로맨스/멜로,7.9,7
그때 그 사람,1980-02-16,한국,로맨스/멜로,10.0,2
내 사랑 동키호테,1989-04-01,한국,드라마,8.5,4
꼭지꼭지,1981-02-19,한국,로맨스/멜로,7.5,4
추억의 이름으로,1989-05-12,한국,드라마,8.0,1
난 모르겠네,1980-09-21,한국,코미디,7.0,1
아제아제 바라아제,1989-03-03,한국,드라마,7.6,29
노명검,1981-03-20,한국,액션/무협,7.5,2
담다디,1989-02-25,한국,드라마,6.4,5
서울무지개,1989-03-25,한국,드라마,6.6,7
일본대부,1989-04-29,한국,액션,6.0,3
랏슈,1989-06-24,한국,스릴러,9.0,1
매일 죽는 남자,1981-02-14,한국,드라마/미스터리/범죄/스릴러,3.0,2
달마가 동쪽으로 간 까닭은?,1989-09-23,한국,드라마,8.3,20
뭔가 보여드리겠읍니다,1980-06-06,한국,코미디,4.6,8
미워도 다시 한번 '80,1980-06-21,한국,로맨스/멜로,4.5,2
모래성,1989-03-18,한국,로맨스/멜로,2.0,1
속 병태와영자,1980-11-19,한국,로맨스/멜로,5.0,1
복권,1980-06-21,한국,액션,8.0,1
불새,1980-09-19,한국,로맨스/멜로,5.0,2
위험한 욕정,1989-10-12,한국,로맨스/멜로,1.0,1
들병이,1989-10-21,한국,드라마,5.0,1
인간시장 4 - 오! 하나님,1989-06-03,한국,드라마,6.7,3
비밀,2000-06-03,한국,미스터리,4.7,3
바람계곡의 나우시카,2000-12-30,일본,애니메이션/SF/판타지,9.1,182
반딧불이의 묘,2014-06-19,일본,애니메이션/드라마/전쟁,5.6,184
인랑,2019-09-04,일본,스릴러/드라마/액션/애니메이션,7.4,65
퍼펙트 블루,2004-05-26,일본,미스터리/스릴러/애니메이션,8.2,36
무사 쥬베이,2000-09-30,일본,액션/애니메이션,8.0,62
모노노케 히메,2003-04-25,일본,판타지/애니메이션,9.1,389
미션 임파서블 2,2000-06-17,"미국, 독일",액션/스릴러,5.8,137
침향,2000-06-10,한국,드라마,9.0,4
사망탑의 결전,2017-02-02,"홍콩, 한국",액션,7.2,11
빨간 여배우,1989-06-10,한국,드라마,6.0,1
소림용문방,1980-09-20,한국,액션,5.7,3
아낌없이 바쳤는데,1980-11-14,한국,로맨스/멜로,8.0,1
애권,1980-04-24,한국,액션,7.0,2
여자의 방,1980-10-04,한국,로맨스/멜로,5.0,1
이웃집 남자,1989-11-18,한국,로맨스/멜로,10.0,2
열번 찍어도 안넘어진 사나이,1980-10-14,한국,코미디,5.0,1
굿모닝! 대통령,1989-07-15,한국,드라마,5.5,6
행복은 성적순이 아니잖아요,1989-07-29,한국,드라마,7.9,38
셀레브레이션,1999-04-24,"덴마크, 스웨덴",드라마,7.0,6
13층,1999-11-27,"독일, 미국",SF/판타지/스릴러,8.2,180
요,1981-03-14,한국,액션,6.5,4
가타카,1998-05-02,미국,SF/드라마,9.0,375
우산 속의 세 여자,1980-03-08,한국,로맨스/멜로,5.4,7
원권,1981-01-25,한국,액션,7.0,3
구로아리랑,1989-07-01,한국,드라마,7.2,11
슬라이딩 도어즈,1998-09-05,"영국, 미국",로맨스/멜로/드라마,7.7,38
월녀의 한,1980-06-14,한국,드라마,8.1,8
이주일의 리빠동 사장,1980-10-18,한국,코미디,6.0,3
슈퍼 홍길동 3,1989-08-05,한국,어드벤처,7.0,4
인무가인,1981-05-03,한국,액션,6.7,3
우뢰매 6 - 제3세대 우뢰매,1989-07-20,한국,SF,8.7,3
미스 코뿔소 미스타 코란도,1989-07-29,한국,드라마,2.0,1
매매꾼,1989-08-26,한국,액션,8.0,1
영구와 땡칠이,1989-07-29,한국,코미디,8.2,25
새앙쥐 상륙작전,1989-07-29,한국,드라마,9.1,11
이보다 더 좋을 순 없다,1998-03-07,미국,코미디/로맨스/멜로,8.9,148
처음 만나는 자유,2000-06-24,"독일, 미국",드라마,7.9,58
죽거나 혹은 나쁘거나,2019-10-10,한국,액션/드라마,6.9,4563
최후의 증인,1980-11-15,한국,드라마,8.5,15
평양 맨발,1980-05-17,한국,액션,8.3,3
애란,1989-08-12,한국,시대극/드라마,7.0,8
U-571,2000-09-02,"프랑스, 미국",액션/전쟁,8.5,58
하얀 미소,1981-08-30,한국,드라마,10.0,1
매춘 2,1989-09-09,한국,성인/드라마,4.7,3
우담바라,1989-09-13,한국,드라마,5.5,2
빨강 바다,1989-12-02,한국,드라마,4.0,2
며느리밥풀꽃에 대한 보고서,1989-10-28,한국,드라마,10.0,2
벌거벗은 분노,1989-11-11,한국,드라마,7.5,11
해뜨는 집,1980-12-06,한국,로맨스/멜로,10.0,1
인신매매,1989-09-30,한국,드라마,4.5,2
쫄병수첩,1989-11-18,한국,드라마,4.0,1
화려한 경험,1980-05-16,한국,로맨스/멜로,5.0,2
그후로도 오랫동안,1989-09-09,한국,드라마,6.3,3
태권소년 어니와 마스타 김,1989-12-22,한국,드라마,5.5,2
마농의 샘 2,1992-01-01,"스위스, 프랑스, 이탈리아",드라마,9.2,61
해피 길모어,0000-00-00,미국,코미디,8.3,25
화요일밤의 여자,0000-00-00,한국,로맨스/멜로,5.0,1
가시를 삼킨 장미,1979-09-28,한국,로맨스/멜로,6.8,5
가을비 우산속에,1979-08-23,한국,로맨스/멜로,9.0,1
못먹어도 고,1989-10-21,한국,로맨스/멜로,8.0,1
크라이막스 원,1989-09-30,한국,드라마,7.7,6
아낌없이 주련다,1989-09-30,한국,로맨스/멜로,8.2,5
헤븐스 도어,2009-02-07,일본,드라마,5.8,4
죄없는 병사들,1990-03-17,한국,전쟁,7.1,10
남자 가정부,1980-04-26,한국,코미디,6.0,1
내가 버린 남자,1979-05-03,한국,로맨스/멜로,6.0,1
물의 나라,1990-01-20,한국,성인,6.7,3
도브,2000-04-22,"영국, 미국",로맨스/멜로,5.5,2
풀 몬티,1998-04-11,영국,코미디/드라마,8.1,33
시티 오브 엔젤,1998-07-17,"독일, 미국",로맨스/멜로/판타지,7.4,32
느미,1980-06-13,한국,로맨스/멜로,2.0,1
당산비권,1979-03-03,한국,액션,7.3,9
타이타닉,2018-02-01,미국,로맨스/멜로/드라마,9.4,2284
런어웨이 브라이드,1999-08-14,미국,코미디/로맨스/멜로,6.9,13
비오는 날의 수채화,1990-02-17,한국,로맨스/멜로,8.1,26
아웃 오브 아프리카,1986-12-20,미국,로맨스/멜로/드라마,8.6,101
업 클로즈 앤 퍼스널,1996-06-08,미국,드라마/로맨스/멜로,8.5,33
가위손,2014-05-22,미국,로맨스/멜로/판타지,9.1,274
사랑의 행로,1992-12-12,미국,로맨스/멜로/드라마,7.7,21
아메리칸 뷰티,2000-02-26,미국,드라마,8.4,137
푸줏간 소년,1999-06-19,"미국, 아일랜드",코미디/드라마,7.4,14
007 언리미티드,1999-12-18,"영국, 미국",액션/어드벤처,6.3,46
"개, 달리다",2000-06-03,일본,코미디,8.3,7
베를린 천사의 시,1993-05-15,"프랑스, 서독",판타지/로맨스/멜로,8.4,34
아메리칸 파이,1999-10-02,미국,코미디/로맨스/멜로,7.3,33
발바리의 추억,1989-12-23,한국,드라마,5.0,3
추락하는 것은 날개가 있다,1990-01-26,한국,로맨스/멜로/드라마,6.4,9
마야고,1990-10-13,한국,로맨스/멜로,8.0,1
데스티네이션,2000-06-10,"미국, 캐나다",공포/스릴러,7.4,75
로맨스 그레이,1979-02-09,한국,로맨스/멜로,5.5,2
맨발의 청춘,1979-02-17,한국,로맨스/멜로,6.0,1
맹룡아호,1979-06-28,한국,액션,5.0,2
모모는 철부지,1980-01-19,한국,코미디,3.2,4
밤이면 내리는 비,1979-09-28,한국,로맨스/멜로,7.0,1
영구와 땡칠이 소림사 가다,1989-12-22,한국,어드벤처,6.5,8
불행한 여자의 행복,1979-11-01,한국,로맨스/멜로,2.7,3
비취호리,1979-07-28,한국,액션,9.0,1
앗싸 호랑나비,1989-12-23,한국,드라마,7.4,11
종자골,1990-10-02,한국,시대극,9.0,1
솔저,1998-11-28,"영국, 미국",액션/SF,8.9,10
아이언 마스크,1998-04-04,"영국, 미국",액션/어드벤처/시대극,8.3,89
이집트 왕자,1998-12-19,미국,가족/뮤지컬/애니메이션/드라마,8.6,87
개그특공대 로봇 트윈스,1993-01-16,한국,애니메이션/코미디,1.0,2
사문의 승객,1979-12-08,"한국, 홍콩",무협/액션,6.0,2
칠수와 만수,1988-11-26,한국,드라마,8.0,29
산중전기,1979-12-23,"홍콩, 한국",액션,7.7,3
수녀,1979-04-21,한국,드라마,6.8,4
순악질 여사,1980-03-29,한국,코미디,4.5,2
매춘,1988-09-24,한국,성인,6.5,4
순자야 문 열어라,1979-12-16,한국,로맨스/멜로,5.4,5
시라소니,1979-04-12,한국,액션,5.0,1
성공시대,1988-06-04,한국,드라마,6.6,5
신궁,1979-12-08,한국,드라마,6.0,1
접시꽃 당신,1988-03-19,한국,로맨스/멜로/드라마,7.9,7
아다다,1987-03-19,한국,시대극,8.7,33
제5원소,1997-07-17,프랑스,액션/SF,8.1,164
야시,1979-02-23,한국,로맨스/멜로,1.0,1
어느 여대생의 고백,1980-01-01,한국,로맨스/멜로,5.5,2
우리는 밤차를 탔읍니다,1979-03-09,한국,드라마,7.8,11
우요일,1980-04-17,한국,드라마,5.5,2
26 x 365 = 0,1979-02-17,한국,로맨스/멜로,8.0,3
호스 위스퍼러,1998-06-06,미국,로맨스/멜로,8.7,9
감자,1987-03-01,한국,시대극/드라마,5.5,4
굿 윌 헌팅,2016-08-17,미국,드라마,9.1,467
전우가 남긴 한마디,1979-04-20,한국,액션,5.2,6
우리는 지금 제네바로 간다,1988-02-18,한국,드라마,5.8,5
난 이상한 사람과 결혼했다,1998-11-14,미국,코미디/애니메이션,7.5,4
안녕하세요 하나님,1987-12-24,한국,드라마,7.0,12
다크 시티,1998-12-05,"오스트레일리아, 미국",미스터리/SF,8.4,110
동정없는 세상,1998-10-24,프랑스,코미디/로맨스/멜로,7.4,5
연산일기,1988-02-18,한국,시대극,5.5,2
나그네는 길에서도 쉬지 않는다,1988-06-11,한국,드라마,5.8,4
기쁜 우리 젊은 날,1987-05-02,한국,로맨스/멜로,8.1,58
레테의 연가,1987-04-11,한국,로맨스/멜로,7.0,2
안개기둥,1987-02-28,한국,드라마,5.0,1
씨받이,1987-03-21,한국,드라마,7.8,32
달빛 사냥꾼,1987-03-14,한국,범죄,6.6,5
허튼 소리,1986-10-09,한국,드라마,10.0,2
스몰 솔져,1999-06-12,미국,액션/어드벤처,8.1,24
라이언 일병 구하기,1998-09-12,미국,액션/전쟁/드라마,8.8,394
레옹 디 오리지널,2020-06-11,프랑스,범죄/액션,9.3,805
레인메이커,1998-05-12,미국,드라마,8.3,25
스카 시티,1998-05-23,미국,스릴러,4.0,1
록키 호러 픽쳐 쇼,2016-10-13,"영국, 미국",코미디/뮤지컬/공포,8.0,60
롤라 런,1999-04-24,독일,코미디,7.7,28
제3 한강교,1979-11-08,한국,드라마,7.5,2
죽음보다 깊은 잠,1979-12-07,한국,드라마,3.0,3
청춘의 덫,1979-08-18,한국,드라마,8.0,3
티켓,1986-08-23,한국,드라마,7.3,6
겨울 나그네,1986-04-12,한국,로맨스/멜로,8.9,37
미녀와 야수,2012-04-11,미국,애니메이션/뮤지컬,8.8,99
세가지 소망,1999-04-17,미국,드라마,7.0,2
뽕,1986-02-08,한국,드라마,8.3,37
마스크 오브 조로,1998-10-03,"미국, 독일",서부/액션,7.6,42
에미,1985-11-01,한국,드라마,9.3,7
어우동,1985-09-28,한국,시대극,6.5,14
하늘나라에서 온 편지,0000-00-00,"감독
                                                                                    김준식 ",한국,8.0,4
길소뜸,1986-04-05,한국,드라마,5.5,48
깊고 푸른 밤,1985-03-01,한국,로맨스/멜로/드라마,7.2,20
자녀목,1985-03-01,한국,시대극,5.7,3
땡볕,1985-08-01,한국,드라마,5.8,8
스콜피오 원,1998-03-28,미국,스릴러,7.0,1
그 해 겨울은 따뜻했네,1984-09-29,한국,드라마/로맨스/멜로,6.9,10
가깝고도 먼 길,0000-00-00,한국,드라마,6.7,3
개선문,1978-08-31,한국,드라마,9.0,1
아가다,1985-05-30,한국,드라마,1.0,1
갯마을,1978-08-06,한국,로맨스/멜로,8.0,1
고래사냥,1984-03-31,한국,드라마,8.2,41
경찰관,1979-10-05,한국,로맨스/멜로,6.3,3
고교 고단자,1978-09-02,한국,로맨스/멜로,5.0,2
고교 명랑교실,1978-06-17,한국,코미디/로맨스/멜로,7.0,9
골목대장,1979-05-10,한국,드라마,3.7,3
관세음보살,1978-05-25,"
                                                                            1978.05.25
                                                                                    개봉
                                                                                                                                                ",한국,7.5,4
스크림,1999-01-16,미국,공포/스릴러,7.5,43
스텝맘,1999-01-16,미국,코미디,8.6,20
순수의 시대,1994-09-17,미국,드라마/로맨스/멜로,8.2,48
컵,2000-05-31,부탄,코미디,10.0,3
장군,1999-01-23,"영국, 아일랜드",범죄/스릴러,8.8,5
스포일러,1998-12-12,미국,SF,5.0,1
메리에겐 뭔가 특별한 것이 있다,1998-09-26,미국,코미디/로맨스/멜로,7.9,53
스피시즈 2,1998-05-30,미국,SF,6.2,12
꽃순이를 아시나요,1979-05-25,한국,로맨스/멜로,6.0,5
귀여운 여인,1990-09-15,미국,코미디/로맨스/멜로,8.6,175
스피어,1998-04-04,미국,미스터리/SF,6.6,30
꿈나무,1978-11-01,한국,드라마,4.5,2
나는 77번 아가씨,1978-11-16,한국,로맨스/멜로,5.0,2
날으는 소년 일지매,1978-07-27,한국,액션,9.2,4
당신만을 사랑해,1978-08-12,한국,드라마,10.0,1
독수리 날개를 펴라,1978-08-04,한국,드라마,5.0,2
적도의 꽃,1983-10-29,한국,로맨스/멜로,4.1,8
바보선언,1983-10-29,한국,코미디/드라마,8.3,19
마지막 겨울,1978-09-17,한국,로맨스/멜로,9.0,1
뮬란,1998-06-02,미국,애니메이션/어드벤처/가족,8.7,108
안개마을,1983-02-12,한국,드라마,7.0,12
백구야 훨훨 날지마라,1983-01-29,한국,로맨스/멜로,5.0,2
밴디트,1999-01-30,"독일, 프랑스",드라마,8.9,51
해피 투게더,1998-08-22,홍콩,드라마,8.2,120
스네이크 아이즈,1998-08-19,미국,범죄/액션,7.2,18
꼬방동네 사람들,1982-07-17,한국,드라마,8.0,16
애마부인,1982-02-06,한국,성인,5.9,12
난장이가 쏘아올린 작은 공,1981-10-17,한국,드라마,7.6,13
낮은 대로 임하소서,1982-06-26,한국,드라마,7.2,13
겨울로 가는 마차,1982-01-01,한국,로맨스/멜로,5.0,2
초대받은 사람들,1981-10-24,한국,드라마,9.5,4
세번은 짧게 세번은 길게,1981-11-20,한국,로맨스/멜로/드라마,4.0,2
만다라,1981-09-12,한국,드라마,7.7,31
인생은 아름다워,2016-04-13,이탈리아,코미디/전쟁,9.3,1238
슬립워커스,1998-05-16,미국,공포,4.5,2
로마의 휴일,,"이탈리아, 미국",코미디/로맨스/멜로/드라마,9.3,194
빅 대디,1999-09-18,미국,코미디/드라마,8.4,28
무방비 도시,,이탈리아,전쟁/드라마,7.4,8
슬링 블레이드,2000-09-30,미국,드라마,8.8,4
파리에서의 마지막 탱고,1996-12-21,"프랑스, 이탈리아",로맨스/멜로/드라마,5.6,34
언피쉬,2000-04-29,오스트리아,코미디,9.0,1
달콤한 인생,,"이탈리아, 프랑스",드라마,7.8,6
무림대협,1979-01-19,한국,액션,6.7,3
개미,1998-11-07,미국,코미디/애니메이션,6.8,30
모넬라,2015-06-18,이탈리아,코미디/성인,7.0,8
도시로 간 처녀,1981-12-03,한국,드라마,8.1,9
식스 데이 세븐 나잇,1998-08-15,미국,액션/어드벤처,7.4,38
피막,1981-06-13,한국,범죄/시대극,6.5,4
백사전,1978-08-31,한국,드라마,7.8,5
고질라,1998-06-27,"미국, 일본",액션/스릴러,5.3,43
부초,1978-11-25,한국,드라마,6.3,3
짝코,1983-10-23,한국,드라마,6.3,13
불,1978-05-06,한국,드라마,5.0,2
불타는 소림사,1979-01-18,한국,액션,4.5,2
비둘기의 합창,1978-00-00,한국,드라마,3.7,3
뻐꾸기도 밤에 우는가,1981-03-01,한국,드라마,7.5,11
사람의 아들,1980-01-01,한국,드라마,9.5,2
바람불어 좋은 날,1980-11-27,한국,드라마,8.0,43
자유만세,1946-10-22,한국,로맨스/멜로/액션,6.0,4
유관순,1948-04-08,한국,시대극,7.4,10
검사와 여선생,,한국,드라마,7.0,2
마음의 고향,1949-02-09,한국,드라마,7.0,6
피아골,1955-09-23,한국,전쟁,5.6,7
